fromDate,toDate,fromTime,toTime,Brand,Model,Speed,Color,Location,lat,long
4/20/2014,4/20/2014,900,1200,URBAN,CRUISER,1,WHI,1000 CAMINO PESCADERO ,34.410469,-119.858688
3/8/2011,3/8/2011,1630,1930,TREK,ALLANT,,BLK,1000 EL EMBARCADERO RD,34.410216,-119.855947
6/10/2011,6/20/2011,1500,1000,PFFRAN,JULIUS,1,WHI,1000 EL EMBARCADERO RD,34.410216,-119.855947
8/4/2012,8/5/2012,2230,100,RETROS,58,1,SIL,1000 EL EMBARCADERO RD,34.410216,-119.855947
8/4/2012,8/5/2012,2230,100,,,1,BLK,1000 EL EMBARCADERO RD,34.410216,-119.855947
10/22/2011,10/24/2011,30,1230,K2,ZED 2.0,21,GRY,6500 CERVANTES RD,34.416437,-119.853841
3/23/2012,9/23/2012,900,900,JEEP,CHEROKEE,12,RED,6500 CERVANTES RD,34.416437,-119.853841
11/15/2014,11/15/2014,400,500,MABIN,BIKES CA,24,BLU,6500 CERVANTES RD,34.416437,-119.853841
11/15/2014,11/15/2014,400,500,TOUCH,,1,BLK,6500 CERVANTES RD,34.416437,-119.853841
7/15/2011,7/18/2011,1300,915,SCHWIN,POINT BEA,7,WHI,6500 CORDOBA RD,34.413791,-119.853885
10/14/2011,10/14/2011,2300,2315,RETRO,,1,,6500 CORDOBA RD,34.413791,-119.853885
5/4/2012,5/4/2012,620,700,(UNK),XCEL 2,7,SIL,6500 CORDOBA RD,34.413791,-119.853885
5/22/2012,5/23/2012,1930,1000,URBAN,BEACH CRU,,PNK,6500 CORDOBA RD,34.413791,-119.853885
5/23/2012,5/24/2012,2400,2400,,GGG,1,BLU,6500 CORDOBA RD,34.413791,-119.853885
5/30/2012,6/1/2012,1600,800,MARIN,SAN SELMO,,WHI,6500 CORDOBA RD,34.413791,-119.853885
6/8/2012,6/10/2012,2100,1400,DIAMON,,24,BLU,6500 CORDOBA RD,34.413791,-119.853885
